  0:	proc  - (:root:) creates proc  0 (Screen)
  0:	proc  - (:root:) creates proc  1 (User)
  0:	proc  - (:root:) creates proc  2 (Server)
  1:	proc  1 (User:1) Katsupay_spin.pml:120 (state 1)	[((Screen_state==s_Item))]
  2:	proc  0 (Screen:1) Katsupay_spin.pml:16 (state 1)	[((Screen_state==s_Item))]
  3:	proc  2 (Server:1) Katsupay_spin.pml:182 (state 1)	[((Server_state==HTTP_waiting))]
  4:	proc  1 (User:1) Katsupay_spin.pml:122 (state 2)	[Screen_ch!press_pay_btn]
  4:	proc  0 (Screen:1) Katsupay_spin.pml:18 (state 2)	[Screen_ch?press_pay_btn]
  5:	proc  0 (Screen:1) Katsupay_spin.pml:19 (state 3)	[Screen_state = s_nfc]
  6:	proc  1 (User:1) Katsupay_spin.pml:123 (state 3)	[((Screen_state==s_nfc))]
  7:	proc  0 (Screen:1) Katsupay_spin.pml:20 (state 4)	[PayType = paytype_payment]
  8:	proc  1 (User:1) Katsupay_spin.pml:127 (state 7)	[.(goto)]
  9:	proc  0 (Screen:1) Katsupay_spin.pml:25 (state 9)	[.(goto)]
 10:	proc  0 (Screen:1) Katsupay_spin.pml:116 (state 119)	[.(goto)]
 11:	proc  0 (Screen:1) Katsupay_spin.pml:25 (state 10)	[((Screen_state==s_nfc))]
 12:	proc  1 (User:1) Katsupay_spin.pml:178 (state 83)	[.(goto)]
 13:	proc  1 (User:1) Katsupay_spin.pml:127 (state 8)	[((Screen_state==s_nfc))]
 14:	proc  0 (Screen:1) Katsupay_spin.pml:60 (state 48)	[.(goto)]
 15:	proc  1 (User:1) Katsupay_spin.pml:129 (state 9)	[Screen_ch!press_nfc_cxl_btn]
 15:	proc  0 (Screen:1) Katsupay_spin.pml:27 (state 11)	[Screen_ch?press_nfc_cxl_btn]
 16:	proc  0 (Screen:1) Katsupay_spin.pml:29 (state 12)	[((PayType==paytype_payment))]
 17:	proc  0 (Screen:1) Katsupay_spin.pml:29 (state 13)	[Screen_state = s_Item]
 18:	proc  0 (Screen:1) Katsupay_spin.pml:32 (state 17)	[.(goto)]
 19:	proc  0 (Screen:1) Katsupay_spin.pml:32 (state 18)	[goto :b1]
 20:	proc  0 (Screen:1) Katsupay_spin.pml:16 (state 1)	[((Screen_state==s_Item))]
